,value,timestamp_sensor
586,12.35,2020-05-29 18:41:10
587,12.38,2020-05-29 19:01:10
588,12.35,2020-05-29 19:21:11
589,12.36,2020-05-29 19:41:11
590,12.41,2020-05-29 20:01:11
591,12.33,2020-05-29 20:21:11
592,12.32,2020-05-29 20:41:12
593,12.33,2020-05-29 21:01:12
594,12.39,2020-05-29 21:21:12
595,12.34,2020-05-29 21:41:12
596,12.33,2020-05-29 22:01:12
597,12.94,2020-05-29 22:21:13
598,12.71,2020-05-29 22:41:13
599,12.72,2020-05-29 23:01:13
600,12.7,2020-05-29 23:21:13
601,12.71,2020-05-29 23:41:14
602,12.75,2020-05-30 00:01:14
603,12.74,2020-05-30 00:21:14
604,12.71,2020-05-30 00:41:14
605,12.7,2020-05-30 01:01:15
606,12.7,2020-05-30 01:21:15
607,12.69,2020-05-30 01:41:15
608,12.67,2020-05-30 02:01:15
609,12.67,2020-05-30 02:21:16
610,12.65,2020-05-30 02:41:16
611,12.65,2020-05-30 03:01:16
612,12.65,2020-05-30 03:21:16
613,12.65,2020-05-30 03:41:16
614,12.61,2020-05-30 04:01:17
615,12.59,2020-05-30 04:21:17
616,12.59,2020-05-30 04:41:17
617,12.59,2020-05-30 05:01:17
618,12.59,2020-05-30 05:21:18
619,12.62,2020-05-30 05:41:18
620,12.62,2020-05-30 06:01:18
621,12.64,2020-05-30 06:21:18
622,12.63,2020-05-30 06:41:19
623,12.63,2020-05-30 07:01:19
624,12.65,2020-05-30 07:21:19
625,12.65,2020-05-30 07:41:19
626,12.66,2020-05-30 08:01:19
627,12.68,2020-05-30 08:21:20
628,12.68,2020-05-30 08:41:20
629,12.75,2020-05-30 09:01:20
630,12.79,2020-05-30 09:21:20
631,12.78,2020-05-30 09:41:21
632,12.8,2020-05-30 10:01:21
633,12.9,2020-05-30 10:21:21
634,12.89,2020-05-30 10:41:21
635,12.97,2020-05-30 11:01:22
636,12.96,2020-05-30 11:21:22
637,12.97,2020-05-30 11:41:22
638,12.98,2020-05-30 12:01:22
639,12.99,2020-05-30 12:21:23
640,12.99,2020-05-30 12:41:23
641,12.99,2020-05-30 13:01:23
642,12.98,2020-05-30 13:21:23
643,12.99,2020-05-30 13:41:23
644,12.83,2020-05-30 14:01:24
645,12.8,2020-05-30 14:21:24
646,12.73,2020-05-30 14:41:24
647,12.66,2020-05-30 15:01:25
648,12.76,2020-05-30 15:21:25
649,12.7,2020-05-30 15:41:25
650,12.69,2020-05-30 16:01:25
651,12.62,2020-05-30 16:21:26
652,12.65,2020-05-30 16:41:26
653,12.65,2020-05-30 17:01:26
654,12.66,2020-05-30 17:21:26
655,12.81,2020-05-30 17:41:26
656,12.91,2020-05-30 18:01:27
657,12.66,2020-05-30 18:21:27
658,12.97,2020-05-30 18:41:27
659,12.77,2020-05-30 19:01:27
660,12.68,2020-05-30 19:21:28
661,12.69,2020-05-30 19:41:28
662,12.74,2020-05-30 20:01:28
663,12.68,2020-05-30 20:21:28
664,12.64,2020-05-30 20:41:29
665,12.62,2020-05-30 21:01:29
666,12.6,2020-05-30 21:21:29
667,12.59,2020-05-30 21:41:29
668,12.57,2020-05-30 22:01:29
669,12.58,2020-05-30 22:21:30
670,12.55,2020-05-30 22:41:30
671,12.58,2020-05-30 23:01:30
672,12.66,2020-05-30 23:21:30
673,12.7,2020-05-30 23:41:31
674,12.66,2020-05-31 00:01:31
675,12.64,2020-05-31 00:21:31
676,12.66,2020-05-31 00:41:31
677,12.66,2020-05-31 01:01:31
678,12.65,2020-05-31 01:21:32
679,12.65,2020-05-31 01:41:32
680,12.59,2020-05-31 02:01:32
681,12.74,2020-05-31 02:21:32
682,12.7,2020-05-31 02:41:33
683,12.63,2020-05-31 03:01:33
684,12.59,2020-05-31 03:21:33
685,12.62,2020-05-31 03:41:33
686,12.59,2020-05-31 04:01:34
687,12.57,2020-05-31 04:21:34
688,12.56,2020-05-31 04:41:34
689,12.56,2020-05-31 05:01:34
690,12.65,2020-05-31 05:21:34
691,12.71,2020-05-31 05:41:35
692,12.77,2020-05-31 06:01:35
693,12.81,2020-05-31 06:21:35
694,12.81,2020-05-31 06:41:35
695,12.93,2020-05-31 07:01:36
696,12.97,2020-05-31 07:21:36
697,12.98,2020-05-31 07:41:36
698,13.0,2020-05-31 08:01:36
699,13.05,2020-05-31 08:21:37
700,13.18,2020-05-31 08:41:37
701,13.33,2020-05-31 09:01:37
702,13.23,2020-05-31 09:21:37
703,13.06,2020-05-31 09:41:38
704,13.06,2020-05-31 10:01:38
705,13.06,2020-05-31 10:21:38
706,13.11,2020-05-31 10:41:38
707,13.12,2020-05-31 11:01:39
708,13.15,2020-05-31 11:21:39
709,13.03,2020-05-31 11:41:39
710,13.01,2020-05-31 12:01:39
711,13.0,2020-05-31 12:21:40
712,12.99,2020-05-31 12:41:40
713,12.98,2020-05-31 13:01:40
714,12.98,2020-05-31 13:21:40
715,12.96,2020-05-31 13:41:41
716,12.96,2020-05-31 14:01:41
717,12.98,2020-05-31 14:21:41
718,13.0,2020-05-31 14:41:41
719,13.08,2020-05-31 15:01:42
720,13.52,2020-05-31 15:21:42
721,13.5,2020-05-31 15:41:42
722,13.92,2020-05-31 16:01:42
723,13.35,2020-05-31 16:21:43
724,13.53,2020-05-31 16:41:43
725,13.37,2020-05-31 17:01:43
726,13.46,2020-05-31 17:21:43
727,13.51,2020-05-31 17:41:43
728,13.44,2020-05-31 18:01:44
729,13.02,2020-05-31 18:21:44
730,13.03,2020-05-31 18:41:44
731,12.98,2020-05-31 19:01:44
732,12.98,2020-05-31 19:21:45
