,value,timestamp_sensor
562,180.47,2020-05-29 10:41:04
563,180.43,2020-05-29 11:01:05
564,181.22,2020-05-29 11:21:05
565,181.21,2020-05-29 11:41:05
566,181.78,2020-05-29 12:01:05
567,181.75,2020-05-29 12:21:06
568,181.83,2020-05-29 12:41:06
569,181.88,2020-05-29 13:01:06
570,182.05,2020-05-29 13:21:06
571,183.17,2020-05-29 13:41:07
572,182.86,2020-05-29 14:01:07
573,182.67,2020-05-29 14:21:07
574,182.38,2020-05-29 14:41:07
575,182.05,2020-05-29 15:01:08
576,182.32,2020-05-29 15:21:08
577,182.1,2020-05-29 15:41:08
578,182.26,2020-05-29 16:01:08
579,182.88,2020-05-29 16:21:09
580,182.3,2020-05-29 16:41:09
581,182.53,2020-05-29 17:01:09
582,182.41,2020-05-29 17:21:09
583,181.46,2020-05-29 17:41:09
584,182.55,2020-05-29 18:01:10
585,182.58,2020-05-29 18:21:10
586,182.34,2020-05-29 18:41:10
587,182.22,2020-05-29 19:01:10
588,181.69,2020-05-29 19:21:11
589,182.47,2020-05-29 19:41:11
590,183.21,2020-05-29 20:01:11
591,182.89,2020-05-29 20:21:11
592,182.57,2020-05-29 20:41:12
593,182.76,2020-05-29 21:01:12
594,184.2,2020-05-29 21:21:12
595,183.32,2020-05-29 21:41:12
596,183.33,2020-05-29 22:01:13
597,181.67,2020-05-29 22:21:13
598,183.14,2020-05-29 22:41:13
599,183.1,2020-05-29 23:01:13
600,183.19,2020-05-29 23:21:13
601,183.31,2020-05-29 23:41:14
602,183.15,2020-05-30 00:01:14
603,183.71,2020-05-30 00:21:14
604,183.52,2020-05-30 00:41:14
605,183.88,2020-05-30 01:01:15
606,184.17,2020-05-30 01:21:15
607,183.95,2020-05-30 01:41:15
608,184.57,2020-05-30 02:01:15
609,184.1,2020-05-30 02:21:16
610,184.14,2020-05-30 02:41:16
611,183.89,2020-05-30 03:01:16
612,184.08,2020-05-30 03:21:16
613,184.12,2020-05-30 03:41:16
614,184.55,2020-05-30 04:01:17
615,183.78,2020-05-30 04:21:17
616,183.84,2020-05-30 04:41:17
617,183.47,2020-05-30 05:01:17
618,183.54,2020-05-30 05:21:18
619,183.92,2020-05-30 05:41:18
620,183.76,2020-05-30 06:01:18
621,183.71,2020-05-30 06:21:18
622,183.84,2020-05-30 06:41:19
623,183.82,2020-05-30 07:01:19
624,183.96,2020-05-30 07:21:19
625,183.82,2020-05-30 07:41:19
626,183.9,2020-05-30 08:01:19
627,183.27,2020-05-30 08:21:20
628,183.8,2020-05-30 08:41:20
629,183.71,2020-05-30 09:01:20
630,183.65,2020-05-30 09:21:20
631,183.73,2020-05-30 09:41:21
632,183.36,2020-05-30 10:01:21
633,183.56,2020-05-30 10:21:21
634,183.56,2020-05-30 10:41:21
635,184.13,2020-05-30 11:01:22
636,183.64,2020-05-30 11:21:22
637,183.78,2020-05-30 11:41:22
638,183.65,2020-05-30 12:01:22
639,183.7,2020-05-30 12:21:23
640,183.65,2020-05-30 12:41:23
641,183.4,2020-05-30 13:01:23
642,183.61,2020-05-30 13:21:23
643,183.44,2020-05-30 13:41:24
644,182.99,2020-05-30 14:01:24
645,183.75,2020-05-30 14:21:24
646,183.92,2020-05-30 14:41:24
647,183.53,2020-05-30 15:01:25
648,183.54,2020-05-30 15:21:25
649,183.61,2020-05-30 15:41:25
650,183.57,2020-05-30 16:01:25
651,183.6,2020-05-30 16:21:26
652,183.56,2020-05-30 16:41:26
653,183.7,2020-05-30 17:01:26
654,183.82,2020-05-30 17:21:26
655,183.99,2020-05-30 17:41:26
656,184.36,2020-05-30 18:01:27
657,183.91,2020-05-30 18:21:27
658,183.92,2020-05-30 18:41:27
659,183.92,2020-05-30 19:01:27
660,184.12,2020-05-30 19:21:28
661,183.91,2020-05-30 19:41:28
662,184.14,2020-05-30 20:01:28
663,184.22,2020-05-30 20:21:28
664,183.8,2020-05-30 20:41:29
665,184.27,2020-05-30 21:01:29
666,183.95,2020-05-30 21:21:29
667,184.09,2020-05-30 21:41:29
668,183.85,2020-05-30 22:01:29
669,184.09,2020-05-30 22:21:30
670,184.07,2020-05-30 22:41:30
671,184.32,2020-05-30 23:01:30
672,184.13,2020-05-30 23:21:30
673,184.33,2020-05-30 23:41:31
674,183.87,2020-05-31 00:01:31
675,184.1,2020-05-31 00:21:31
676,184.03,2020-05-31 00:41:31
677,184.47,2020-05-31 01:01:32
678,184.17,2020-05-31 01:21:32
679,184.02,2020-05-31 01:41:32
680,184.12,2020-05-31 02:01:32
681,184.3,2020-05-31 02:21:33
682,183.9,2020-05-31 02:41:33
683,184.28,2020-05-31 03:01:33
684,184.63,2020-05-31 03:21:33
685,184.29,2020-05-31 03:41:33
686,184.41,2020-05-31 04:01:34
687,184.24,2020-05-31 04:21:34
688,183.74,2020-05-31 04:41:34
689,183.53,2020-05-31 05:01:34
690,182.33,2020-05-31 05:21:35
691,181.85,2020-05-31 05:41:35
692,181.83,2020-05-31 06:01:35
693,181.64,2020-05-31 06:21:35
694,181.98,2020-05-31 06:41:35
695,182.17,2020-05-31 07:01:36
696,181.67,2020-05-31 07:21:36
697,181.59,2020-05-31 07:41:36
698,181.45,2020-05-31 08:01:36
699,181.54,2020-05-31 08:21:37
700,181.31,2020-05-31 08:41:37
701,180.81,2020-05-31 09:01:37
702,181.69,2020-05-31 09:21:37
703,181.28,2020-05-31 09:41:38
704,181.7,2020-05-31 10:01:38
705,181.72,2020-05-31 10:21:38
706,181.21,2020-05-31 10:41:38
707,181.65,2020-05-31 11:01:39
708,181.42,2020-05-31 11:21:39
709,181.42,2020-05-31 11:41:39
710,181.38,2020-05-31 12:01:39
711,181.46,2020-05-31 12:21:40
712,181.25,2020-05-31 12:41:40
713,181.78,2020-05-31 13:01:40
714,181.53,2020-05-31 13:21:40
715,181.4,2020-05-31 13:41:41
716,181.61,2020-05-31 14:01:41
717,181.61,2020-05-31 14:21:41
718,181.58,2020-05-31 14:41:41
719,181.93,2020-05-31 15:01:42
720,181.83,2020-05-31 15:21:42
721,181.78,2020-05-31 15:41:42
722,181.81,2020-05-31 16:01:42
723,182.33,2020-05-31 16:21:43
724,181.81,2020-05-31 16:41:43
725,182.18,2020-05-31 17:01:43
726,182.89,2020-05-31 17:21:43
727,182.05,2020-05-31 17:41:43
728,182.06,2020-05-31 18:01:44
729,182.89,2020-05-31 18:21:44
730,182.85,2020-05-31 18:41:44
731,182.24,2020-05-31 19:01:44
732,182.79,2020-05-31 19:21:45
